76561198120016930, Mod, SeniorModerator, 255, 155, 0, On
76561198069945693, Mod, Helper, 255, 255, 0, On
76561198056877306, Admin, Technician, 255, 0, 0, On
76561198050914985, Admin, Developer, 0, 255, 0, On
76561198055581866, Mod, Helper, 255, 255, 0, On
76561198124048806, Mod, Associate, 40, 200, 40, On
76561198103701624, Mod, SeniorModerator, 255, 155, 0, On
76561198055372831, Mod, Developer, 255, 155, 255, On
76561198163514474, Mod, Helper, 255, 255, 0, On
76561198179925631, Mod, Moderator, 255, 155, 0, On
76561198077754260, Admin, Owner, 255, 0, 0, On
